SNo,Date,Province,Country/Region,Last Update,Confirmed,Deaths,Recovered
3072,03/02/2020,New York,US,2020-03-02T01:53:03,1.0,0.0,0.0
3221,03/03/2020,New York,US,2020-03-02T01:53:03,1.0,0.0,0.0
3384,03/04/2020,New York,US,2020-03-02T01:53:03,1.0,0.0,0.0
3493,03/05/2020,New York,US,2020-03-05T21:03:13,4.0,0.0,0.0
3643,03/06/2020,New York,US,2020-03-06T19:13:40,16.0,0.0,0.0
3854,03/07/2020,New York,US,2020-03-07T18:23:05,11.0,0.0,0.0
4085,03/08/2020,New York,US,2020-03-08T04:13:22,12.0,0.0,0.0
4328,03/09/2020,New York,US,2020-03-09T17:13:16,19.0,0.0,0.0
4550,03/10/2020,New York,US,2020-03-10T17:13:27,173.0,0.0,0.0
4756,03/11/2020,New York,US,2020-03-11T22:53:03,220.0,0.0,0.0
4965,03/12/2020,New York,US,2020-03-12T21:39:10,328.0,0.0,0.0
5357,03/13/2020,New York,US,2020-03-11T20:00:00,421.0,0.0,0.0
5412,03/14/2020,New York,US,2020-03-14T22:13:32,525.0,2.0,0.0
5656,03/15/2020,New York,US,2020-03-15T18:20:19,732.0,3.0,0.0
5910,03/16/2020,New York,US,2020-03-16T21:53:03,967.0,10.0,0.0
6172,03/17/2020,New York,US,2020-03-17T22:53:03,1706.0,13.0,0.0
6448,03/18/2020,New York,US,2020-03-18T19:33:03,2495.0,16.0,0.0
6730,03/19/2020,New York,US,2020-03-19T23:43:04,5365.0,34.0,0.0
7022,03/20/2020,New York,US,2020-03-20T22:14:43,8310.0,42.0,0.0
7320,03/21/2020,New York,US,2020-03-21T22:43:04,11710.0,60.0,0.0
7864,03/22/2020,New York,US,3/8/20 5:31,15800.0,117.0,0.0
8160,03/23/2020,New York,US,2020-03-23 23:23:20,20884.0,158.0,0.0
8456,03/24/2020,New York,US,2020-03-24 23:41:50,25681.0,210.0,0.0
8758,03/25/2020,New York,US,2020-03-25 23:37:49,30841.0,285.0,0.0
9062,03/26/2020,New York,US,2020-03-26 23:53:24,37877.0,385.0,0.0
9369,03/27/2020,New York,US,2020-03-27 23:27:48,44876.0,527.0,0.0
9679,03/28/2020,New York,US,3/8/20 5:31,52410.0,728.0,0.0
9990,03/29/2020,New York,US,3/8/20 5:31,59648.0,965.0,0.0
10302,03/30/2020,New York,US,3/8/20 5:31,66663.0,1218.0,0.0
10615,03/31/2020,New York,US,2020-03-31 23:49:27,75833.0,1550.0,0.0
10928,04/01/2020,New York,US,2020-04-01 22:04:58,83948.0,1941.0,0.0
11243,04/02/2020,New York,US,4/2/20 8:53,92506.0,2373.0,0.0
11558,04/03/2020,New York,US,2020-04-03 22:52:45,102987.0,2935.0,0.0
11874,04/04/2020,New York,US,4/4/20 9:38,113833.0,3565.0,0.0
12192,04/05/2020,New York,US,2020-04-05 23:13:44,123160.0,4159.0,0.0
12512,04/06/2020,New York,US,4/6/20 9:37,131815.0,4698.0,0.0
12832,04/07/2020,New York,US,2020-04-07 23:11:31,139875.0,5489.0,0.0
13152,04/08/2020,New York,US,2020-04-08 22:59:00,151061.0,6268.0,0.0
13472,04/09/2020,New York,US,2020-04-09 23:09:19,161779.0,7067.0,0.0
13793,04/10/2020,New York,US,2020-04-10 23:01:43,172348.0,7867.0,0.0
14114,04/11/2020,New York,US,2020-04-11 22:52:46,181026.0,8627.0,0.0
14434,04/12/2020,New York,US,2020-04-12 23:25:00,189033.0,9385.0,0.0
14754,04/13/2020,New York,US,2020-04-13 23:15:42,195749.0,10058.0,0.0
15074,04/14/2020,New York,US,2020-04-14 23:41:11,203020.0,10842.0,0.0
15394,04/15/2020,New York,US,2020-04-15 23:04:26,214454.0,11617.0,0.0
15714,04/16/2020,New York,US,2020-04-16 23:38:19,223691.0,14832.0,0.0
16034,04/17/2020,New York,US,2020-04-17 23:38:48,230597.0,17131.0,0.0
16354,04/18/2020,New York,US,2020-04-18 22:40:18,241712.0,17671.0,0.0
16674,04/19/2020,New York,US,2020-04-19 23:49:05,247815.0,18298.0,0.0
16994,04/20/2020,New York,US,2020-04-20 23:44:50,253060.0,18611.0,0.0
17314,04/21/2020,New York,US,2020-04-21 23:39:09,258361.0,19104.0,0.0
17633,04/22/2020,New York,US,2020-04-22 23:38:57,263292.0,19413.0,0.0
